"id","elapsed.time","descrip","xCH4_gd1","xCH4_gd2","xCH4_gd3","xCH4_gd4","xCH4_gd5","xCH4_gd6","xCH4_gd7","xCH4_gd8","xCH4_gd9","xCH4_gd10","xCH4_gd11","xCH4_gd12"
"C1",0,"C",0,0,0.600383824681906,0,0,0.600383824681906,0,0,0.600383824681906,0,0,0.603905327727479
"C1",0.840277777777778,"C",0.533170727605645,0.533170727605645,0.600383824681906,0.534757686232137,0.534757686232137,0.600383824681906,0.533170727605645,0.533170727605645,0.600383824681906,0.534757686232137,0.534757686232137,0.603905327727479
"C1",1.84375,"C",0.582042995508216,0.560349933525087,0.600383824681906,0.57950973593079,0.559645526029169,0.600383824681906,0.582042995508216,0.560349933525087,0.600383824681906,0.57950973593079,0.559645526029169,0.603905327727479
"C1",10.8784722222222,"C",0.76886582281803,0.608841220031213,0.600383824681906,0.631625640796122,0.606416529653276,0.600383824681906,0.76886582281803,0.608841220031213,0.600383824681906,0.631625640796122,0.606416529653276,0.603905327727479
"C1",13.125,"C",0.569765484767303,0.607654446211828,0.600383824681906,0.609370962697276,0.606506259091866,0.600383824681906,0.569765484767303,0.607654446211828,0.600383824681906,0.609370962697276,0.606506259091866,0.603905327727479
"C1",15.8541666666667,"C",0.571575126367417,0.606647487801434,0.600383824681906,0.58680992918153,0.605956542934726,0.600383824681906,0.571575126367417,0.606647487801434,0.600383824681906,0.58680992918153,0.605956542934726,0.603905327727479
"C1",18.9097222222222,"C",0.652096243862212,0.607676996264249,0.600383824681906,0.592473128133889,0.605651115661281,0.600383824681906,0.652096243862212,0.607676996264249,0.600383824681906,0.592473128133889,0.605651115661281,0.603905327727479
"C1",2.85069444444444,"C",0.618913478920369,0.580694742011483,0.600383824681906,0.644849464980985,0.589245131185604,0.600383824681906,0.618913478920369,0.580694742011483,0.600383824681906,0.644849464980985,0.589245131185604,0.603905327727479
"C1",22.8611111111111,"C",0.333586798903833,0.601140386595667,0.600383824681906,0.563218171425384,0.604639158297501,0.600383824681906,0.333586798903833,0.601140386595667,0.600383824681906,0.563218171425384,0.604639158297501,0.603905327727479
"C1",27.1458333333333,"C",0.566523171029718,0.600383824681906,0.600383824681906,0.571062037153417,0.603905327727479,0.600383824681906,0.566523171029718,0.600383824681906,0.600383824681906,0.571062037153417,0.603905327727479,0.603905327727479
"C1",3.80902777777778,"C",0.670063698893574,0.596347771442524,0.600383824681906,0.670929654965019,0.603552227289083,0.600383824681906,0.670063698893574,0.596347771442524,0.600383824681906,0.670929654965019,0.603552227289083,0.603905327727479
"C1",4.86111111111111,"C",0.587864067104004,0.595540951567633,0.600383824681906,0.609511542273046,0.604118971906522,0.600383824681906,0.587864067104004,0.595540951567633,0.600383824681906,0.609511542273046,0.604118971906522,0.603905327727479
"C1",5.85902777777778,"C",0.695558357168586,0.601161070180055,0.600383824681906,0.612568773415402,0.604593778130959,0.600383824681906,0.695558357168586,0.601161070180055,0.600383824681906,0.612568773415402,0.604593778130959,0.603905327727479
"C1",6.83958333333333,"C",0.49062409785212,0.596540745021822,0.600383824681906,0.612373411871031,0.604918958355585,0.600383824681906,0.49062409785212,0.596540745021822,0.600383824681906,0.612373411871031,0.604918958355585,0.603905327727479
"C1",8.91666666666667,"C",0.703486223909821,0.602412463692356,0.600383824681906,0.61374951952579,0.605403790173007,0.600383824681906,0.703486223909821,0.602412463692356,0.600383824681906,0.61374951952579,0.605403790173007,0.603905327727479
"C2",0,"C",0,0,0.59460299030643,0,0,0.59460299030643,0,0,0.59460299030643,0,0,0.599777596737811
"C2",0.840277777777778,"C",0.510073745263328,0.510073745263328,0.59460299030643,0.513952717197824,0.513952717197824,0.59460299030643,0.510073745263328,0.510073745263328,0.59460299030643,0.513952717197824,0.513952717197824,0.599777596737811
"C2",1.84375,"C",0.578095587010218,0.548344265006656,0.59460299030643,0.573069762788481,0.547213211214775,0.59460299030643,0.578095587010218,0.548344265006656,0.59460299030643,0.573069762788481,0.547213211214775,0.599777596737811
"C2",10.8784722222222,"C",0.756263700840764,0.6041169250654,0.59460299030643,0.63024248106593,0.599815032567312,0.59460299030643,0.756263700840764,0.6041169250654,0.59460299030643,0.63024248106593,0.599815032567312,0.599777596737811
"C2",13.125,"C",0.54110552073802,0.60218309141136,0.59460299030643,0.630493394395557,0.600756558140145,0.59460299030643,0.54110552073802,0.60218309141136,0.59460299030643,0.630493394395557,0.600756558140145,0.599777596737811
"C2",15.8541666666667,"C",0.482705443282841,0.598907936583275,0.59460299030643,0.556678874726638,0.599548288309731,0.59460299030643,0.482705443282841,0.598907936583275,0.59460299030643,0.556678874726638,0.599548288309731,0.599777596737811
